Model,Train_Time_Sec,Val_MAE,Val_MSE,Val_RMSE,Val_R2,Test_MAE,Test_MSE,Test_RMSE,Test_R2
Linear Regression,3.32,2.01,13.85,3.72,0.8445,1.99,13.47,3.67,0.8441
Ridge Regression,0.58,2.01,13.86,3.72,0.8443,1.99,13.47,3.67,0.8439
Random Forest Regressor,9434.22,1.63,9.95,3.15,0.887,1.61,9.8,3.13,0.8866
LightGBM Regressor,19.32,1.52,9.15,3.02,0.897,1.5,8.94,2.99,0.8963
MLPRegressor (Scikit-Learn),705.97,1.54,9.5,3.08,0.892,1.52,9.36,3.06,0.8917
Deep Feedforward Neural Network (PyTorch),120.0,1.57,10.95,3.3091,0.874,1.57,10.89,3.3,0.8734
