Model,Train_Time_Sec,Val_MAE,Val_MSE,Val_RMSE,Val_R2,Test_MAE,Test_MSE,Test_RMSE,Test_R2
Linear Regression,0.12,2.0132,14.0391,3.7469,0.8485,1.9743,15.7352,3.9668,0.8245
Ridge Regression,0.03,2.016,14.0874,3.7533,0.848,1.9792,15.7417,3.9676,0.8244
Random Forest Regressor,48.14,1.7036,11.251,3.3543,0.8786,1.7079,13.1773,3.6301,0.853
LightGBM Regressor,3.11,1.5773,10.5422,3.2469,0.8863,1.5685,12.119,3.4812,0.8648
MLPRegressor (Scikit-Learn),48.01,1.7121,10.929,3.3059,0.8821,1.707,13.1458,3.6257,0.8533
