Trial,Layers,Learning_Rate,Batch_Size,Dropout,Optimizer,Loss_Function,Val_MAE,Val_RMSE,Val_R2,Duration_Sec
Trial-1 (Baseline),(64, 32),0.001,64,0.0,ADAM,MSE,1.8842,3.651,0.856,42.1
Trial-2 (Deeper),(128, 64, 32),0.001,64,0.2,ADAM,MSE,1.805,3.4743,0.8698,54.3
Trial-3 (Huber Loss - Best),(128, 64, 32),0.001,64,0.2,ADAM,HUBER,1.7202,3.5274,0.8658,58.7
Trial-4 (Wide Arch),(256, 128, 64),0.0005,64,0.3,ADAM,HUBER,1.738,3.5612,0.8632,82.5
Trial-5 (Small Batch),(128, 64, 32),0.0005,32,0.2,ADAM,HUBER,1.741,3.5821,0.8616,96.2
Trial-6 (Large Batch),(128, 64, 32),0.001,128,0.2,ADAM,HUBER,1.7565,3.6045,0.8598,39.4
Trial-7 (RMSprop Opt),(128, 64, 32),0.0005,64,0.2,RMSPROP,HUBER,1.769,3.621,0.8585,55.0
Trial-8 (High Reg),(128, 64, 32),0.001,64,0.4,ADAM,HUBER,1.792,3.6675,0.8549,56.1
